Actuator Inputs [ENTER ITERATION NUMBERS IN SEQUENTIAL ORDER],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iteration #,0,160,320,479,639,799,959,1118,1278,1438,1598,1757,1917,2077,2237,2396,2556,2716,2876,3036,3195,3355,3515,3532,3675,3834,3994,4154,4314,4473,4633,4793,4953,5113,5272,5432,5592,5752,5911,6071,6231,6391,6550,6710,6870,7030,7189,7349,7509,7669,7829,7988,8148,8308,8468,8627,8787,8947,9107,9266,9426,9586,9746,9906,10065,10225,10385,10545,10704,10864,11024,11184,11343,11503,11663,11823,11982,12142,12302,12462,12622,12781,12941,13101,13261,13420,13580,13740,13900,14059,14219,14379,14539,14699,14858,15018,15178,15338,15497,15657,15817,15923,15977,16136,16296,16456,16616,16775,16935,17095,17255,17415,17574,17688,17734,17894,18054,18213,18373,18533,18693,18852,19012,19172,19332,19492,19651,19811,19971,20131,20290,20450,20610,20770,20929,21089,21249,21409,21568,21728,21888,22048,22208,22367,22527,22687,22847,23006,23166,23326,23486,23645,23805,23965,24125,24284,24444,24604,24764,24924,25083,25243,25403,25563,25722,25882,26042,26202,26361,26521,26681,26841,27001,27160,27320,27480,27640,27799,27959,28119,28279,28438,28598,28758,28918,29077,29237,29397,29557,29717,29876,30036,30196,30356,30515,30675,30835,30995,31154,31314,31474,31634,31794
Actuator 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actuator 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peltier 1 (C) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peltier 2 (C) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThM1 Setpoint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,0
ThM2 Setpoint,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,0
Peltier 1 (% Power),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peltier 2 (% Power),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T_ext,6.533,6.45,6.366,6.283,6.199,6.09,5.917,5.743,5.57,5.397,5.224,5.024,4.792,4.56,4.328,4.307,4.414,4.521,4.628,4.735,4.842,4.921,4.811,4.799,4.701,4.592,4.482,4.372,4.262,4.152,4.042,3.933,3.823,3.713,3.603,3.591,3.762,3.934,4.106,4.277,4.391,4.175,3.959,3.744,3.528,3.313,3.097,3.058,3.085,3.112,3.139,3.167,3.194,3.221,3.248,3.227,3.18,3.134,3.087,3.04,2.993,2.947,2.9,2.853,2.838,2.878,2.918,2.957,2.997,3.037,3.077,3.117,3.157,3.197,3.237,3.277,3.114,2.927,2.74,2.553,2.366,2.18,2.095,2.142,2.19,2.238,2.286,2.333,2.381,2.429,2.476,2.524,2.572,2.62,2.667,2.715,2.763,2.81,2.858,2.906,2.875,2.807,2.773,2.671,2.568,2.466,2.364,2.262,2.16,2.058,1.955,1.853,1.751,1.679,1.649,1.547,1.445,1.421,1.502,1.583,1.664,1.744,1.825,1.906,1.987,2.068,2.148,2.229,2.31,2.391,2.515,2.855,3.196,3.536,3.877,4.072,4.244,4.416,4.587,4.759,4.931,5.102,5.274,5.469,5.758,6.047,6.336,6.625,6.914,7.203,7.492,7.774,7.902,8.03,8.157,8.285,8.413,8.541,8.669,8.796,8.924,9.052,9.18,9.257,9.314,9.37,9.427,9.484,9.54,9.597,9.654,9.711,9.767,9.677,9.469,9.261,9.053,8.845,8.637,8.429,8.413,8.444,8.475,8.506,8.537,8.568,8.512,8.325,8.138,7.95,7.763,7.576,7.427,7.38,7.333,7.286,7.239,7.192,7.145,6.506,5.845,5.331,5.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k_T,0.88102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hAs_LS1,2.6903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hAs_LS2,2.5795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
